scenario,run,group,value,indicator
SSP1-2.6,92,Prey,0.667429710740741,age_mature
SSP1-2.6,93,Prey,0.682087596790123,age_mature
SSP1-2.6,94,Prey,0.67670736037037,age_mature
SSP1-2.6,95,Prey,0.663669452962963,age_mature
SSP1-2.6,96,Prey,0.692612196296296,age_mature
SSP1-2.6,97,Prey,0.664207057407407,age_mature
SSP1-2.6,98,Prey,0.683445028765432,age_mature
SSP1-2.6,99,Prey,0.683433890864198,age_mature
SSP1-2.6,100,Prey,0.679604321358025,age_mature
SSP1-2.6,1,Predator,0.739496289314723,age_mature
SSP1-2.6,2,Predator,0.751165512634145,age_mature
SSP1-2.6,3,Predator,0.759793883445651,age_mature
SSP1-2.6,4,Predator,0.752229550406443,age_mature
SSP1-2.6,5,Predator,0.749616842785365,age_mature
SSP1-2.6,6,Predator,0.753524155090837,age_mature
SSP1-2.6,7,Predator,0.752388201765218,age_mature
SSP1-2.6,8,Predator,0.745099583300917,age_mature
SSP1-2.6,9,Predator,0.757483160506332,age_mature
SSP1-2.6,10,Predator,0.738184085804839,age_mature
SSP1-2.6,11,Predator,0.750973581822358,age_mature
SSP1-2.6,12,Predator,0.752536478934182,age_mature
SSP1-2.6,13,Predator,0.75487500579142,age_mature
SSP1-2.6,14,Predator,0.752173509267506,age_mature
SSP1-2.6,15,Predator,0.744812182318562,age_mature
SSP1-2.6,16,Predator,0.752543691995706,age_mature
SSP1-2.6,17,Predator,0.753329948143043,age_mature
SSP1-2.6,18,Predator,0.747977982514688,age_mature
SSP1-2.6,19,Predator,0.741667843081514,age_mature
SSP1-2.6,20,Predator,0.755266251821515,age_mature
SSP1-2.6,21,Predator,0.751168275854391,age_mature
SSP1-2.6,22,Predator,0.754547781923366,age_mature
SSP1-2.6,23,Predator,0.746777260487751,age_mature
SSP1-2.6,24,Predator,0.751043742236416,age_mature
SSP1-2.6,25,Predator,0.755032422874601,age_mature
SSP1-2.6,26,Predator,0.753357845972043,age_mature
SSP1-2.6,27,Predator,0.749970187221071,age_mature
SSP1-2.6,28,Predator,0.756369638976172,age_mature
SSP1-2.6,29,Predator,0.753960623248968,age_mature
SSP1-2.6,30,Predator,0.751680673191757,age_mature
SSP1-2.6,31,Predator,0.762410377063498,age_mature
SSP1-2.6,32,Predator,0.743540124375142,age_mature
SSP1-2.6,33,Predator,0.746123125323002,age_mature
SSP1-2.6,34,Predator,0.754464199611568,age_mature
SSP1-2.6,35,Predator,0.753625893679366,age_mature
SSP1-2.6,36,Predator,0.741685740526916,age_mature
SSP1-2.6,37,Predator,0.741835530067602,age_mature
SSP1-2.6,38,Predator,0.756524850188692,age_mature
SSP1-2.6,39,Predator,0.73734044106342,age_mature
SSP1-2.6,40,Predator,0.750039886402458,age_mature
SSP1-2.6,41,Predator,0.757759018686199,age_mature
SSP1-2.6,42,Predator,0.750339285087533,age_mature
SSP1-2.6,43,Predator,0.747243242115639,age_mature
SSP1-2.6,44,Predator,0.750408532725959,age_mature
SSP1-2.6,45,Predator,0.755390985034749,age_mature
SSP1-2.6,46,Predator,0.747686695998323,age_mature
SSP1-2.6,47,Predator,0.745139439341769,age_mature
SSP1-2.6,48,Predator,0.753345275636925,age_mature
SSP1-2.6,49,Predator,0.7560168740086,age_mature
SSP1-2.6,50,Predator,0.751123290904905,age_mature
SSP1-2.6,51,Predator,0.753833850920772,age_mature
SSP1-2.6,52,Predator,0.759004321740839,age_mature
SSP1-2.6,53,Predator,0.751036919412665,age_mature
SSP1-2.6,54,Predator,0.747847672521084,age_mature
SSP1-2.6,55,Predator,0.751065027266042,age_mature
