scenario,run,group,ingestion_log2,maintenance_log2,burden_log2
SSP5-8.5,81,Mid-trophic species,0.0253230359264146,0.438079387534074,0.41275635160766
SSP1-2.6,82,Mid-trophic species,0.00249513326832601,0.227786605420216,0.22529147215189
SSP5-8.5,82,Mid-trophic species,0.0136922481360836,0.43603215526909,0.422339907133006
SSP1-2.6,83,Mid-trophic species,-0.00487041136254903,0.22072941220012,0.225599823562669
SSP5-8.5,83,Mid-trophic species,0.0033241637663695,0.470492816526312,0.467168652759943
SSP1-2.6,84,Mid-trophic species,-0.00724484070458054,0.241872078818237,0.249116919522818
SSP5-8.5,84,Mid-trophic species,-0.0120386129893375,0.476474456068109,0.488513069057447
SSP1-2.6,85,Mid-trophic species,0.00263374215691985,0.24564434079199,0.24301059863507
SSP5-8.5,85,Mid-trophic species,0.00374481893749121,0.450984913980447,0.447240095042956
SSP1-2.6,86,Mid-trophic species,0.00554043217605966,0.260426141199688,0.254885709023629
SSP5-8.5,86,Mid-trophic species,0.023664542984216,0.505544248541717,0.481879705557501
SSP1-2.6,87,Mid-trophic species,0.011691513317093,0.211780729368995,0.200089216051902
SSP5-8.5,87,Mid-trophic species,0.00605035231557599,0.445665784598615,0.439615432283039
SSP1-2.6,88,Mid-trophic species,-0.00752011904912886,0.234599441678239,0.242119560727368
SSP5-8.5,88,Mid-trophic species,-0.0205357138831276,0.497221181253413,0.51775689513654
SSP1-2.6,89,Mid-trophic species,-0.0101902726965832,0.22814362528526,0.238333897981843
SSP5-8.5,89,Mid-trophic species,-0.000915154091188112,0.464835127891951,0.465750281983139
SSP1-2.6,90,Mid-trophic species,-0.0248295523343743,0.207404434037862,0.232233986372236
SSP5-8.5,90,Mid-trophic species,-0.0225195751948747,0.411751343774656,0.434270918969531
SSP1-2.6,91,Mid-trophic species,-0.00401990180689301,0.21268478069872,0.216704682505613
SSP5-8.5,91,Mid-trophic species,-0.000473381495126577,0.466979716275275,0.467453097770402
SSP1-2.6,92,Mid-trophic species,0.0174612553801734,0.233605870494212,0.216144615114039
SSP5-8.5,92,Mid-trophic species,0.0179532412515431,0.482624870052652,0.464671628801109
SSP1-2.6,93,Mid-trophic species,0.00506876209343365,0.257213678854607,0.252144916761174
SSP5-8.5,93,Mid-trophic species,-0.00307897741484732,0.493825356453126,0.496904333867973
SSP1-2.6,94,Mid-trophic species,0.00914112552097926,0.233895252503367,0.224754126982388
SSP5-8.5,94,Mid-trophic species,0.00841745403654291,0.473858644368022,0.465441190331479
SSP1-2.6,95,Mid-trophic species,-0.00380658730411662,0.244078678313415,0.247885265617531
SSP5-8.5,95,Mid-trophic species,0.00195219791957166,0.474811094155147,0.472858896235575
SSP1-2.6,96,Mid-trophic species,0.00601236950847345,0.278665807472041,0.272653437963567
SSP5-8.5,96,Mid-trophic species,0.0117961835679888,0.504314100902521,0.492517917334532
