scenario,species,latin,group,species_order,mean,lo,hi,n_runs,metric,metric_label
SSP1-2.6,ScomberJaponicus,Scomber japonicus,Mid-trophic species,9,0.171443042650704,0.165080064921123,0.177582768102868,100,mbi_age_standardized,metabolic_burden
SSP5-8.5,ScomberJaponicus,Scomber japonicus,Mid-trophic species,9,0.207809651636599,0.200031526161691,0.214372025042215,100,mbi_age_standardized,metabolic_burden
Base,DecapterusMaruadsi,Decapterus maruadsi,Mid-trophic species,10,0.010584295581737,0.0102693219977791,0.0109390508494504,100,mbi_age_standardized,metabolic_burden
SSP1-2.6,DecapterusMaruadsi,Decapterus maruadsi,Mid-trophic species,10,0.0115374304903254,0.0112976025832614,0.0117947069480162,100,mbi_age_standardized,metabolic_burden
SSP5-8.5,DecapterusMaruadsi,Decapterus maruadsi,Mid-trophic species,10,0.0129081488783641,0.0126471354951486,0.0131759266461614,100,mbi_age_standardized,metabolic_burden
Base,PennahiaArgentata,Pennahia argentata,Mid-trophic species,11,0.00286173223174202,0.00271556200157467,0.0030210004924285,100,mbi_age_standardized,metabolic_burden
SSP1-2.6,PennahiaArgentata,Pennahia argentata,Mid-trophic species,11,0.00368584531331351,0.0035700600047025,0.00380239462242664,100,mbi_age_standardized,metabolic_burden
SSP5-8.5,PennahiaArgentata,Pennahia argentata,Mid-trophic species,11,0.00433649656633887,0.00421059967928569,0.00449600436570854,100,mbi_age_standardized,metabolic_burden
Base,PampusArgenteus,Pampus argenteus,Mid-trophic species,12,0.00116883890774017,0.00109226273277846,0.00125735898198214,100,mbi_age_standardized,metabolic_burden
SSP1-2.6,PampusArgenteus,Pampus argenteus,Mid-trophic species,12,0.00143916942285495,0.00137813701430913,0.0015058727557718,100,mbi_age_standardized,metabolic_burden
SSP5-8.5,PampusArgenteus,Pampus argenteus,Mid-trophic species,12,0.00166132891602031,0.00160388132100113,0.00173639134078596,100,mbi_age_standardized,metabolic_burden
Base,LarimichthysPolyactis,Larimichthys polyactis,Mid-trophic species,13,0.00512729132555314,0.00469697368294389,0.00559980386093436,100,mbi_age_standardized,metabolic_burden
SSP1-2.6,LarimichthysPolyactis,Larimichthys polyactis,Mid-trophic species,13,0.00643954976108294,0.00612856207569497,0.00676251496362058,100,mbi_age_standardized,metabolic_burden
SSP5-8.5,LarimichthysPolyactis,Larimichthys polyactis,Mid-trophic species,13,0.00757938203256006,0.00721006809330077,0.00797898794597631,100,mbi_age_standardized,metabolic_burden
Base,TrachurusJaponicus,Trachurus japonicus,Mid-trophic species,14,0.0046308565285015,0.0043140970219853,0.00492506525881674,100,mbi_age_standardized,metabolic_burden
SSP1-2.6,TrachurusJaponicus,Trachurus japonicus,Mid-trophic species,14,0.00495327556762971,0.00470918924156284,0.00521714602105572,100,mbi_age_standardized,metabolic_burden
SSP5-8.5,TrachurusJaponicus,Trachurus japonicus,Mid-trophic species,14,0.00580885234319785,0.00544654380674302,0.0061983965028709,100,mbi_age_standardized,metabolic_burden
Base,EngraulisJaponicus,Engraulis japonicus,Prey,1,15.9213058616,15.0790107988611,16.6789041026111,100,enet_age_standardized,net_energy
SSP1-2.6,EngraulisJaponicus,Engraulis japonicus,Prey,1,17.2030407130823,16.7396013948148,17.8413011369548,100,enet_age_standardized,net_energy
SSP5-8.5,EngraulisJaponicus,Engraulis japonicus,Prey,1,17.948337029414,17.3554656654218,18.6387540901646,100,enet_age_standardized,net_energy
Base,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,73.926260312,72.6085542566667,75.0489017445833,100,enet_age_standardized,net_energy
SSP1-2.6,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,79.5010340423457,78.8916380527778,80.0527275103396,100,enet_age_standardized,net_energy
SSP5-8.5,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,82.7770482748766,82.2021927032407,83.3772975592593,100,enet_age_standardized,net_energy
Base,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1.46677575172857,1.38289374223333,1.57248604069012,100,enet_age_standardized,net_energy
SSP1-2.6,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1.51811159359548,1.45754632272988,1.58181394933805,100,enet_age_standardized,net_energy
SSP5-8.5,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1.51305031381971,1.45069814038427,1.56831961540694,100,enet_age_standardized,net_energy
Base,MuraenesoxCinereus,Muraenesox cinereus,Predator,4,30.1141222383933,29.4095632096667,30.8811108638333,100,enet_age_standardized,net_energy
SSP1-2.6,MuraenesoxCinereus,Muraenesox cinereus,Predator,4,33.7749645244198,33.3892578919753,34.1748808782716,100,enet_age_standardized,net_energy
SSP5-8.5,MuraenesoxCinereus,Muraenesox cinereus,Predator,4,35.0537935825556,34.6683502798765,35.4466691993827,100,enet_age_standardized,net_energy
Base,MiichthysMiiuy,Miichthys miiuy,Predator,5,117.169643994167,108.95677561375,123.642365359167,100,enet_age_standardized,net_energy
SSP1-2.6,MiichthysMiiuy,Miichthys miiuy,Predator,5,116.846857700926,112.264949574846,120.666666828395,100,enet_age_standardized,net_energy
SSP5-8.5,MiichthysMiiuy,Miichthys miiuy,Predator,5,119.206851658272,115.5795440375,123.697874807562,100,enet_age_standardized,net_energy
Base,TodarodesPacificus,Todarodes pacificus,Invertebrate,6,3.29813320322467,2.82241117366667,3.72997333341667,100,enet_age_standardized,net_energy
SSP1-2.6,TodarodesPacificus,Todarodes pacificus,Invertebrate,6,3.40926798804568,3.13144290493519,3.69417049941389,100,enet_age_standardized,net_energy
SSP5-8.5,TodarodesPacificus,Todarodes pacificus,Invertebrate,6,3.32029444886723,2.96730010660485,3.61673260372068,100,enet_age_standardized,net_energy
Base,TrachysalambriaCurvirostris,Trachysalambria curvirostris,Invertebrate,7,6.667007907178,5.37750362150167,8.028057391025,100,enet_age_standardized,net_energy
SSP1-2.6,TrachysalambriaCurvirostris,Trachysalambria curvirostris,Invertebrate,7,7.36581016759764,6.68081021562191,8.11856040914228,100,enet_age_standardized,net_energy
SSP5-8.5,TrachysalambriaCurvirostris,Trachysalambria curvirostris,Invertebrate,7,7.59660019794296,6.87069359849229,8.41758637657099,100,enet_age_standardized,net_energy
Base,PortunusTrituberculatus,Portunus trituberculatus,Invertebrate,8,0.604950458210967,0.530622564825,0.696543491358333,100,enet_age_standardized,net_energy
SSP1-2.6,PortunusTrituberculatus,Portunus trituberculatus,Invertebrate,8,0.757926624726185,0.682101932725309,0.845713067466049,100,enet_age_standardized,net_energy
SSP5-8.5,PortunusTrituberculatus,Portunus trituberculatus,Invertebrate,8,0.783617900668408,0.700305273694753,0.854010519919753,100,enet_age_standardized,net_energy
Base,ScomberJaponicus,Scomber japonicus,Mid-trophic species,9,3.75879591325687,3.67233731141,3.84344893786667,100,enet_age_standardized,net_energy
SSP1-2.6,ScomberJaponicus,Scomber japonicus,Mid-trophic species,9,3.9384183284398,3.87253064737809,4.01710899464815,100,enet_age_standardized,net_energy
SSP5-8.5,ScomberJaponicus,Scomber japonicus,Mid-trophic species,9,3.83773746904106,3.76200096689789,3.91749086641332,100,enet_age_standardized,net_energy
Base,DecapterusMaruadsi,Decapterus maruadsi,Mid-trophic species,10,36.048153984,35.2640611863889,36.8963653680556,100,enet_age_standardized,net_energy
SSP1-2.6,DecapterusMaruadsi,Decapterus maruadsi,Mid-trophic species,10,38.6487000928807,38.2931324983539,39.0413300830247,100,enet_age_standardized,net_energy
SSP5-8.5,DecapterusMaruadsi,Decapterus maruadsi,Mid-trophic species,10,39.9655278913045,39.4752780165638,40.3661413177984,100,enet_age_standardized,net_energy
Base,PennahiaArgentata,Pennahia argentata,Mid-trophic species,11,34.0436831293877,32.8959231151429,35.3855887967857,100,enet_age_standardized,net_energy
SSP1-2.6,PennahiaArgentata,Pennahia argentata,Mid-trophic species,11,37.1261882086242,36.3053685426658,37.8214936406878,100,enet_age_standardized,net_energy
SSP5-8.5,PennahiaArgentata,Pennahia argentata,Mid-trophic species,11,39.5114513969918,38.5677207559524,40.2210192237654,100,enet_age_standardized,net_energy
Base,PampusArgenteus,Pampus argenteus,Mid-trophic species,12,81.4622238704243,76.0218921438778,85.6982888114445,100,enet_age_standardized,net_energy
SSP1-2.6,PampusArgenteus,Pampus argenteus,Mid-trophic species,12,89.8363315386452,86.4770497779424,92.6433478040216,100,enet_age_standardized,net_energy
SSP5-8.5,PampusArgenteus,Pampus argenteus,Mid-trophic species,12,92.778414363139,90.111922905356,96.3505950305144,100,enet_age_standardized,net_energy
Base,LarimichthysPolyactis,Larimichthys polyactis,Mid-trophic species,13,34.477223713496,32.4121888397683,36.5943326814583,100,enet_age_standardized,net_energy
SSP1-2.6,LarimichthysPolyactis,Larimichthys polyactis,Mid-trophic species,13,38.1795761408148,36.9128666839876,39.3017188202006,100,enet_age_standardized,net_energy
SSP5-8.5,LarimichthysPolyactis,Larimichthys polyactis,Mid-trophic species,13,40.1814316348351,39.1821619816729,41.4000697159845,100,enet_age_standardized,net_energy
Base,TrachurusJaponicus,Trachurus japonicus,Mid-trophic species,14,80.08903643575,77.29593391625,84.6042114416667,100,enet_age_standardized,net_energy
SSP1-2.6,TrachurusJaponicus,Trachurus japonicus,Mid-trophic species,14,86.1129358639506,83.0615854575617,90.099760466358,100,enet_age_standardized,net_energy
SSP5-8.5,TrachurusJaponicus,Trachurus japonicus,Mid-trophic species,14,87.6250947552531,84.305482385679,92.6772026324074,100,enet_age_standardized,net_energy
