species,run,latin,group,species_order,scenario,ingestion,maintenance,ingestion_base,maintenance_base,ingestion_log2,maintenance_log2,burden_log2
DecapterusMaruadsi,34,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.5040425720165,0.498798285596708,39.0729487111111,0.421341741,-0.0211602117012998,0.243465660299549,0.264625872000849
DecapterusMaruadsi,35,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.8366136954733,0.448993141399177,38.5723782666667,0.401309444888889,0.00984931113902666,0.161978296626196,0.152128985487169
DecapterusMaruadsi,35,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.7304602057613,0.497947672427984,38.5723782666667,0.401309444888889,0.00590054264518811,0.311279031903038,0.30537848925785
DecapterusMaruadsi,36,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,39.066525744856,0.441264877037037,38.9304437666667,0.416128539555556,0.00503416980230656,0.0846156821215127,0.0795815123192061
DecapterusMaruadsi,36,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.410706345679,0.50217599399177,38.9304437666667,0.416128539555556,-0.0193902957528332,0.271163826836815,0.290554122589648
DecapterusMaruadsi,37,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,39.022328600823,0.457375217078189,38.7236782555556,0.408056772555556,0.0110838744981758,0.164608308325239,0.153524433827063
DecapterusMaruadsi,37,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.6535498765432,0.497475428148148,38.7236782555556,0.408056772555556,-0.00261508184697124,0.285855381273336,0.288470463120307
DecapterusMaruadsi,38,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.9013153127572,0.445978070288066,39.0080110444444,0.410099760222222,-0.00395150379082046,0.120997871287799,0.12494937507862
DecapterusMaruadsi,38,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.4140082222222,0.496538871028807,39.0080110444444,0.410099760222222,-0.0221379330927345,0.275931761906388,0.298069694999122
DecapterusMaruadsi,39,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.359134744856,0.446511894279835,38.6325646555556,0.412529293333333,-0.0102472769853386,0.11420203920852,0.124449316193859
DecapterusMaruadsi,39,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.4646876502058,0.508149332592593,38.6325646555556,0.412529293333333,-0.00628286219378865,0.300755964430888,0.307038826624677
DecapterusMaruadsi,40,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,39.0636338106996,0.443568315843621,39.1506635888889,0.423747895777778,-0.00321060177988734,0.0659501130232602,0.0691607148031475
DecapterusMaruadsi,40,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.985594308642,0.494723309794239,39.1506635888889,0.423747895777778,-0.00609563326180105,0.22341567209829,0.229511305360091
DecapterusMaruadsi,41,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.6842700288066,0.45229379090535,38.7724392888889,0.414983651222222,-0.00328445167216317,0.12420568988953,0.127490141561693
DecapterusMaruadsi,41,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.5071012921811,0.504376896337449,38.7724392888889,0.414983651222222,-0.00990697701877789,0.281447691710929,0.291354668729707
DecapterusMaruadsi,42,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.5886370658436,0.444036403827161,39.1972777777778,0.415788880444444,-0.0225773742987666,0.0948267828361155,0.117404157134882
DecapterusMaruadsi,42,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.5194863045268,0.491739459794239,39.1972777777778,0.415788880444444,-0.0251650001625512,0.242042953015717,0.267207953178268
DecapterusMaruadsi,43,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.7244965432099,0.442278781481481,38.9864608222222,0.406769578333333,-0.00972671063699685,0.120744243666867,0.130470954303864
DecapterusMaruadsi,43,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.722792127572,0.504592204567901,38.9864608222222,0.406769578333333,-0.00979021065180735,0.310906132024887,0.320696342676694
DecapterusMaruadsi,44,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.9446795802469,0.451581177942387,39.4236901888889,0.411700188,-0.0176365755205314,0.133391247886478,0.151027823407009
DecapterusMaruadsi,44,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.8015560617284,0.493443041934156,39.4236901888889,0.411700188,-0.022948313688942,0.261289456736286,0.284237770425228
DecapterusMaruadsi,45,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.3719226378601,0.446934126419753,38.6903430222222,0.419891883222222,-0.0119224660715793,0.0900443081589438,0.101966774230523
DecapterusMaruadsi,45,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.7011094938272,0.491988730164609,38.6903430222222,0.419891883222222,0.000401406997481677,0.228607368341253,0.228205961343771
