scenario,run,group,indicator,value
SSP1-2.6,28,Predator,biomass,2466301.57637037
SSP1-2.6,29,Predator,biomass,2539022.95227161
SSP1-2.6,30,Predator,biomass,2528864.94972839
SSP1-2.6,31,Predator,biomass,2472185.86483951
SSP1-2.6,32,Predator,biomass,2525504.73498765
SSP1-2.6,33,Predator,biomass,2511223.7051358
SSP1-2.6,34,Predator,biomass,2521142.76411111
SSP1-2.6,35,Predator,biomass,2514645.06706173
SSP1-2.6,36,Predator,biomass,2472979.93102469
SSP1-2.6,37,Predator,biomass,2427404.44467901
SSP1-2.6,38,Predator,biomass,2460402.19803704
SSP1-2.6,39,Predator,biomass,2468129.19395062
SSP1-2.6,40,Predator,biomass,2505505.27328395
SSP1-2.6,41,Predator,biomass,2582043.96216049
SSP1-2.6,42,Predator,biomass,2439288.03677778
SSP1-2.6,43,Predator,biomass,2475031.57217284
SSP1-2.6,44,Predator,biomass,2485885.58065432
SSP1-2.6,45,Predator,biomass,2482119.82537037
SSP1-2.6,46,Predator,biomass,2469108.3272963
SSP1-2.6,47,Predator,biomass,2485745.30541975
SSP1-2.6,48,Predator,biomass,2491765.30145679
SSP1-2.6,49,Predator,biomass,2535993.22935803
SSP1-2.6,50,Predator,biomass,2541374.57964198
SSP1-2.6,51,Predator,biomass,2473432.16528395
SSP1-2.6,52,Predator,biomass,2524792.75916049
SSP1-2.6,53,Predator,biomass,2496980.27838272
SSP1-2.6,54,Predator,biomass,2498713.16177778
SSP1-2.6,55,Predator,biomass,2571331.23728395
SSP1-2.6,56,Predator,biomass,2533460.00353086
SSP1-2.6,57,Predator,biomass,2459128.49544444
SSP1-2.6,58,Predator,biomass,2443713.22266667
SSP1-2.6,59,Predator,biomass,2554607.35067901
SSP1-2.6,60,Predator,biomass,2511502.68401235
SSP1-2.6,61,Predator,biomass,2508098.05075309
SSP1-2.6,62,Predator,biomass,2529905.64935802
SSP1-2.6,63,Predator,biomass,2478826.98145679
SSP1-2.6,64,Predator,biomass,2518518.87533333
SSP1-2.6,65,Predator,biomass,2484560.02403704
SSP1-2.6,66,Predator,biomass,2467610.5014321
SSP1-2.6,67,Predator,biomass,2432425.23625926
SSP1-2.6,68,Predator,biomass,2562411.08677778
SSP1-2.6,69,Predator,biomass,2502861.5402963
SSP1-2.6,70,Predator,biomass,2490205.12241975
SSP1-2.6,71,Predator,biomass,2520914.74344444
SSP1-2.6,72,Predator,biomass,2526339.60318518
SSP1-2.6,73,Predator,biomass,2464010.00080247
SSP1-2.6,74,Predator,biomass,2533043.61316049
SSP1-2.6,75,Predator,biomass,2476402.5637037
SSP1-2.6,76,Predator,biomass,2542504.80454321
SSP1-2.6,77,Predator,biomass,2472008.86028395
