run,species,scenario,age_future,latin,group,species_order,age_base,log2_response,paired_change_years
56,TrachysalambriaCurvirostris,SSP1-2.6,0.833948532345679,Trachysalambria curvirostris,Invertebrate,7,0.842741820666667,-0.0151323704329256,-0.00879328832098802
56,TrachysalambriaCurvirostris,SSP5-8.5,0.82082650345679,Trachysalambria curvirostris,Invertebrate,7,0.842741820666667,-0.038013405517294,-0.0219153172098771
56,TrichiurusJaponicus,SSP1-2.6,1.13198732037037,Trichiurus japonicus,Predator,3,1.21750803266667,-0.105073492378378,-0.0855207122963
56,TrichiurusJaponicus,SSP5-8.5,1.15695075185185,Trichiurus japonicus,Predator,3,1.21750803266667,-0.0736038364346621,-0.06055728081482
57,DecapterusMaruadsi,SSP1-2.6,0.533622857901235,Decapterus maruadsi,Mid-trophic species,10,0.544729804333333,-0.0297203387821345,-0.011106946432098
57,DecapterusMaruadsi,SSP5-8.5,0.53257010654321,Decapterus maruadsi,Mid-trophic species,10,0.544729804333333,-0.032569353374695,-0.0121596977901229
57,EngraulisJaponicus,SSP1-2.6,0.676094173827161,Engraulis japonicus,Prey,1,0.727507037666667,-0.105736989325822,-0.0514128638395061
57,EngraulisJaponicus,SSP5-8.5,0.663041196790123,Engraulis japonicus,Prey,1,0.727507037666667,-0.133862692045761,-0.0644658408765441
57,LarimichthysPolyactis,SSP1-2.6,0.870726791604938,Larimichthys polyactis,Mid-trophic species,13,0.865383505,0.0088804927226129,0.00534328660493799
57,LarimichthysPolyactis,SSP5-8.5,0.848148109506173,Larimichthys polyactis,Mid-trophic species,13,0.865383505,-0.0290234017330203,-0.017235395493827
57,MiichthysMiiuy,SSP1-2.6,0.589783217901235,Miichthys miiuy,Predator,5,0.576324926,0.0333023540415384,0.013458291901235
57,MiichthysMiiuy,SSP5-8.5,0.58564354345679,Miichthys miiuy,Predator,5,0.576324926,0.0231404066013913,0.00931861745679008
57,MuraenesoxCinereus,SSP1-2.6,0.703171815679012,Muraenesox cinereus,Predator,4,0.687831631333333,0.0318217833226627,0.015340184345679
57,MuraenesoxCinereus,SSP5-8.5,0.699337342962963,Muraenesox cinereus,Predator,4,0.687831631333333,0.0239330811044689,0.01150571162963
57,PampusArgenteus,SSP1-2.6,0.438162925802469,Pampus argenteus,Mid-trophic species,12,0.436562592666667,0.00527890225223597,0.00160033313580199
57,PampusArgenteus,SSP5-8.5,0.436179371728395,Pampus argenteus,Mid-trophic species,12,0.436562592666667,-0.00126697467361017,-0.000383220938272033
57,PennahiaArgentata,SSP1-2.6,0.602453284074074,Pennahia argentata,Mid-trophic species,11,0.598901525333333,0.00853056834002748,0.00355175874074098
57,PennahiaArgentata,SSP5-8.5,0.612029930987654,Pennahia argentata,Mid-trophic species,11,0.598901525333333,0.0312834021524611,0.0131284056543211
57,PortunusTrituberculatus,SSP1-2.6,0.980635391234568,Portunus trituberculatus,Invertebrate,8,1.00917232266667,-0.0413838102476379,-0.028536931432102
57,PortunusTrituberculatus,SSP5-8.5,1.02065527962963,Portunus trituberculatus,Invertebrate,8,1.00917232266667,0.0163231417033864,0.01148295696296
57,ScomberJaponicus,SSP1-2.6,0.789677869753086,Scomber japonicus,Mid-trophic species,9,0.799464518,-0.0177697448662596,-0.009786648246914
57,ScomberJaponicus,SSP5-8.5,0.78813574962963,Scomber japonicus,Mid-trophic species,9,0.799464518,-0.0205898621927473,-0.01132876837037
57,ScomberomorusNiphonius,SSP1-2.6,0.665851962962963,Scomberomorus niphonius,Predator,2,0.658327163,0.0163967370183616,0.00752479996296296
57,ScomberomorusNiphonius,SSP5-8.5,0.669030248765432,Scomberomorus niphonius,Predator,2,0.658327163,0.0232667151932851,0.010703085765432
57,TodarodesPacificus,SSP1-2.6,1.01353297987654,Todarodes pacificus,Invertebrate,6,1.03566193866667,-0.0311601203950845,-0.0221289587901299
57,TodarodesPacificus,SSP5-8.5,0.986054456296296,Todarodes pacificus,Invertebrate,6,1.03566193866667,-0.0708139257127006,-0.0496074823703739
57,TrachurusJaponicus,SSP1-2.6,0.467412913703704,Trachurus japonicus,Mid-trophic species,14,0.478292061,-0.033194251229685,-0.010879147296296
57,TrachurusJaponicus,SSP5-8.5,0.462674910740741,Trachurus japonicus,Mid-trophic species,14,0.478292061,-0.0478929760756686,-0.015617150259259
57,TrachysalambriaCurvirostris,SSP1-2.6,0.853491788271605,Trachysalambria curvirostris,Invertebrate,7,0.868466376333333,-0.0250927217613839,-0.014974588061728
57,TrachysalambriaCurvirostris,SSP5-8.5,0.876455483209877,Trachysalambria curvirostris,Invertebrate,7,0.868466376333333,0.0132108212720271,0.00798910687654397
57,TrichiurusJaponicus,SSP1-2.6,1.17376645012346,Trichiurus japonicus,Predator,3,1.24465567666667,-0.0846013111313659,-0.0708892265432102
57,TrichiurusJaponicus,SSP5-8.5,1.1048204791358,Trichiurus japonicus,Predator,3,1.24465567666667,-0.171934721269665,-0.13983519753087
58,DecapterusMaruadsi,SSP1-2.6,0.536162458518519,Decapterus maruadsi,Mid-trophic species,10,0.536877006333333,-0.00192141067510209,-0.000714547814814059
58,DecapterusMaruadsi,SSP5-8.5,0.534018526790124,Decapterus maruadsi,Mid-trophic species,10,0.536877006333333,-0.00770182324615649,-0.00285847954320906
58,EngraulisJaponicus,SSP1-2.6,0.677816210246914,Engraulis japonicus,Prey,1,0.702896603,-0.0524183427318476,-0.025080392753086
58,EngraulisJaponicus,SSP5-8.5,0.677359289506173,Engraulis japonicus,Prey,1,0.702896603,-0.0533912016890026,-0.025537313493827
58,LarimichthysPolyactis,SSP1-2.6,0.86966154691358,Larimichthys polyactis,Mid-trophic species,13,0.875405835,-0.00949795515511343,-0.00574428808642002
58,LarimichthysPolyactis,SSP5-8.5,0.874624120493827,Larimichthys polyactis,Mid-trophic species,13,0.875405835,-0.00128886447105005,-0.000781714506173037
58,MiichthysMiiuy,SSP1-2.6,0.581034005679012,Miichthys miiuy,Predator,5,0.571553854,0.0237331603624053,0.00948015167901195
58,MiichthysMiiuy,SSP5-8.5,0.586643166296296,Miichthys miiuy,Predator,5,0.571553854,0.03759379007366,0.015089312296296
58,MuraenesoxCinereus,SSP1-2.6,0.702559273703704,Muraenesox cinereus,Predator,4,0.689082880333333,0.027942432764324,0.013476393370371
58,MuraenesoxCinereus,SSP5-8.5,0.701112827777778,Muraenesox cinereus,Predator,4,0.689082880333333,0.0249691157044804,0.012029947444445
58,PampusArgenteus,SSP1-2.6,0.433986873703704,Pampus argenteus,Mid-trophic species,12,0.440290790666667,-0.020805260678614,-0.00630391696296301
58,PampusArgenteus,SSP5-8.5,0.436555631728395,Pampus argenteus,Mid-trophic species,12,0.440290790666667,-0.0122911555172883,-0.00373515893827198
58,PennahiaArgentata,SSP1-2.6,0.591752672469136,Pennahia argentata,Mid-trophic species,11,0.601297335,-0.0230842479397537,-0.00954466253086406
58,PennahiaArgentata,SSP5-8.5,0.603104498518519,Pennahia argentata,Mid-trophic species,11,0.601297335,0.00432943180638011,0.00180716351851895
58,PortunusTrituberculatus,SSP1-2.6,1.00989628444444,Portunus trituberculatus,Invertebrate,8,1.02323807166667,-0.0189347118158828,-0.0133417872222301
58,PortunusTrituberculatus,SSP5-8.5,0.991106104320988,Portunus trituberculatus,Invertebrate,8,1.02323807166667,-0.0460304281216374,-0.032131967345682
58,ScomberJaponicus,SSP1-2.6,0.791748926790123,Scomber japonicus,Mid-trophic species,9,0.797958365333333,-0.0112704669557503,-0.00620943854320999
58,ScomberJaponicus,SSP5-8.5,0.788901917901235,Scomber japonicus,Mid-trophic species,9,0.797958365333333,-0.0164675287367943,-0.00905644743209799
58,ScomberomorusNiphonius,SSP1-2.6,0.666518980740741,Scomberomorus niphonius,Predator,2,0.660502900666667,0.0130810629011939,0.00601608007407406
58,ScomberomorusNiphonius,SSP5-8.5,0.669259679259259,Scomberomorus niphonius,Predator,2,0.660502900666667,0.0190012019602439,0.00875677859259205
58,TodarodesPacificus,SSP1-2.6,1.03698294012346,Todarodes pacificus,Invertebrate,6,0.986681472333333,0.071735836234096,0.050301467790127
58,TodarodesPacificus,SSP5-8.5,1.00630638617284,Todarodes pacificus,Invertebrate,6,0.986681472333333,0.0284133000648116,0.019624913839507
58,TrachurusJaponicus,SSP1-2.6,0.463302782222222,Trachurus japonicus,Mid-trophic species,14,0.464153063666667,-0.00264529502375534,-0.000850281444444989
58,TrachurusJaponicus,SSP5-8.5,0.462572941481482,Trachurus japonicus,Mid-trophic species,14,0.464153063666667,-0.00491976406627576,-0.001580122185185
58,TrachysalambriaCurvirostris,SSP1-2.6,0.879663737777778,Trachysalambria curvirostris,Invertebrate,7,0.946508387666667,-0.105663149400295,-0.0668446498888891
58,TrachysalambriaCurvirostris,SSP5-8.5,0.886274118024691,Trachysalambria curvirostris,Invertebrate,7,0.946508387666667,-0.0948623080084105,-0.060234269641976
58,TrichiurusJaponicus,SSP1-2.6,1.17866918209877,Trichiurus japonicus,Predator,3,1.273883859,-0.112074899031841,-0.0952146769012299
58,TrichiurusJaponicus,SSP5-8.5,1.14991490691358,Trichiurus japonicus,Predator,3,1.273883859,-0.147706645480486,-0.12396895208642
59,DecapterusMaruadsi,SSP1-2.6,0.535113082345679,Decapterus maruadsi,Mid-trophic species,10,0.538799616666667,-0.00990502427156663,-0.00368653432098798
